,Tempo,Love_Type ,Emotional_Tone ,Song_Length
REWIND,82,3,3,3.01
LOVE LINE ,95,1,1,3.1
I CAN'T STOP ME,150,1,1,3.2
HELL IN HEAVEN,105,1,1,2.5
UP NO MORE,120,0,3,3.3
DO WHAT WE LIKE,125,3,1,3
BRING IT BACK,115,3,4,3.3
BELIEVER,105,2,4,3.1
QUEEN,106,2,4,3.1
GO HARD,100,2,4,3
SHOT CLOCK,98,1,3,3.3
HANDLE IT,86,1,2,2.5
DEPEND ON YOU,100,1,3,3.1
SAY SOMETHING,106,1,3,4
BEHIND THE MASK,86,1,3,3.4
SCIENTIST,113,1,1,3.1
MOONLIGHT,116,1,1,3.4
ICON,150,3,1,2.5
CRUEL,125,0,4,3.3
REAL YOU,120,0,3,3
F.I.L.A,118,1,1,3.1
LAST WALTZ,142,1,1,2.5
ESPRESSO,93,1,1,3
CACTUS,170,1,2,3.3
PUSH & PULL,120,1,4,3.2
HELLO,170,3,4,3
"1,3,2",89,1,1,3.1
CANDY,116,1,1,3.1
THE FEELS,120,1,1,3.1
LIKEY,132,1,1,3.2
TURTLE,95,1,3,3.1
MISSING U,120,1,2,3
WOW,160,1,1,3
FFW,128,1,1,3.4
DING DONG,150,1,1,3.3
24/7,123,0,2,3.3
LOOK AT ME,135,1,1,3.1
ROLLIN' ,122,0,3,3.1
DON'T GIVE UP,103,3,4,2.5
YOU IN MY HEART,103,1,1,3.3
JALJAYO GOOD NIGHT,134,1,4,4.2
